date,nuts3,cases,new_cases,new_cases_ma
2020-04-15,ITH34,2033.0,1.0,34.214285714285715
2020-04-15,ITH35,2013.0,5.0,55.857142857142854
2020-04-15,ITH36,3450.0,43.0,77.28571428571429
2020-04-15,ITH37,291.0,4.0,10.785714285714286
2020-04-16,ITH31,3730.0,81.0,94.64285714285714
2020-04-16,ITH32,2170.0,34.0,52.57142857142857
2020-04-16,ITH33,755.0,32.0,19.142857142857142
2020-04-16,ITH34,2135.0,102.0,37.785714285714285
2020-04-16,ITH35,2036.0,23.0,53.07142857142857
2020-04-16,ITH36,3537.0,87.0,74.85714285714286
2020-04-16,ITH37,297.0,6.0,10.357142857142858
2020-04-17,ITH31,3805.0,75.0,94.07142857142857
2020-04-17,ITH32,2200.0,30.0,49.0
2020-04-17,ITH33,807.0,52.0,22.0
2020-04-17,ITH34,2237.0,102.0,41.42857142857143
2020-04-17,ITH35,2096.0,60.0,55.357142857142854
2020-04-17,ITH36,3591.0,54.0,74.14285714285714
2020-04-17,ITH37,301.0,4.0,8.642857142857142
2020-04-18,ITH31,3880.0,75.0,95.21428571428571
2020-04-18,ITH32,2296.0,96.0,49.142857142857146
2020-04-18,ITH33,835.0,28.0,22.357142857142858
2020-04-18,ITH34,2300.0,63.0,43.785714285714285
2020-04-18,ITH35,2116.0,20.0,53.857142857142854
2020-04-18,ITH36,3633.0,42.0,71.5
2020-04-18,ITH37,306.0,5.0,8.714285714285714
2020-04-19,ITH31,3974.0,94.0,91.85714285714286
2020-04-19,ITH32,2339.0,43.0,49.42857142857143
2020-04-19,ITH33,856.0,21.0,22.714285714285715
2020-04-19,ITH34,2315.0,15.0,43.07142857142857
2020-04-19,ITH35,2143.0,27.0,51.285714285714285
2020-04-19,ITH36,3667.0,34.0,65.92857142857143
2020-04-19,ITH37,306.0,0.0,8.571428571428571
2020-04-20,ITH31,3998.0,24.0,88.78571428571429
2020-04-20,ITH32,2379.0,40.0,48.214285714285715
2020-04-20,ITH33,904.0,48.0,24.714285714285715
2020-04-20,ITH34,2325.0,10.0,42.785714285714285
2020-04-20,ITH35,2177.0,34.0,49.285714285714285
2020-04-20,ITH36,3693.0,26.0,59.285714285714285
2020-04-20,ITH37,307.0,1.0,7.428571428571429
2020-04-21,ITH31,4070.0,72.0,86.71428571428571
2020-04-21,ITH32,2390.0,11.0,46.857142857142854
2020-04-21,ITH33,967.0,63.0,27.857142857142858
2020-04-21,ITH34,2351.0,26.0,43.785714285714285
2020-04-21,ITH35,2191.0,14.0,46.285714285714285
2020-04-21,ITH36,3721.0,28.0,54.0
2020-04-21,ITH37,369.0,62.0,10.785714285714286
2020-04-22,ITH31,4164.0,94.0,88.85714285714286
2020-04-22,ITH32,2433.0,43.0,46.5
2020-04-22,ITH33,979.0,12.0,26.928571428571427
2020-04-22,ITH34,2386.0,35.0,37.357142857142854
2020-04-22,ITH35,2279.0,88.0,46.357142857142854
2020-04-22,ITH36,3751.0,30.0,49.642857142857146
2020-04-22,ITH37,400.0,31.0,12.0
2020-04-23,ITH31,4222.0,58.0,83.78571428571429
2020-04-23,ITH32,2454.0,21.0,40.642857142857146
2020-04-23,ITH33,987.0,8.0,26.214285714285715
2020-04-23,ITH34,2395.0,9.0,34.92857142857143
2020-04-23,ITH35,2308.0,29.0,39.785714285714285
2020-04-23,ITH36,3769.0,18.0,45.357142857142854
2020-04-23,ITH37,403.0,3.0,11.0
2020-04-24,ITH31,4398.0,176.0,81.5
2020-04-24,ITH32,2483.0,29.0,37.857142857142854
2020-04-24,ITH33,1042.0,55.0,28.071428571428573
2020-04-24,ITH34,2420.0,25.0,34.0
2020-04-24,ITH35,2340.0,32.0,40.0
2020-04-24,ITH36,3794.0,25.0,42.0
2020-04-24,ITH37,413.0,10.0,10.142857142857142
2020-04-25,ITH31,4473.0,75.0,76.5
2020-04-25,ITH32,2536.0,53.0,37.642857142857146
2020-04-25,ITH33,1047.0,5.0,28.142857142857142
2020-04-25,ITH34,2439.0,19.0,33.285714285714285
2020-04-25,ITH35,2342.0,2.0,32.785714285714285
2020-04-25,ITH36,3802.0,8.0,39.42857142857143
2020-04-25,ITH37,416.0,3.0,10.142857142857142
2020-04-26,ITH31,4492.0,19.0,71.21428571428571
2020-04-26,ITH32,2554.0,18.0,35.642857142857146
2020-04-26,ITH33,1050.0,3.0,27.571428571428573
2020-04-26,ITH34,2453.0,14.0,33.57142857142857
2020-04-26,ITH35,2347.0,5.0,27.857142857142858
2020-04-26,ITH36,3818.0,16.0,36.285714285714285
2020-04-26,ITH37,417.0,1.0,9.785714285714286
2020-04-27,ITH31,4526.0,34.0,69.92857142857143
2020-04-27,ITH32,2571.0,17.0,35.07142857142857
2020-04-27,ITH33,1060.0,10.0,26.714285714285715
2020-04-27,ITH34,2476.0,23.0,35.214285714285715
2020-04-27,ITH35,2366.0,19.0,27.357142857142858
2020-04-27,ITH36,3827.0,9.0,33.785714285714285
2020-04-27,ITH37,422.0,5.0,10.142857142857142
2020-04-28,ITH31,4556.0,30.0,70.28571428571429
